City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,mount isa,-20.7333,139.5,73.17,15,4,10.36,AU,1697659246
199,fougamou,-1.2154,10.5838,74.1,100,100,0.98,GA,1697659295
200,hadibu,12.65,54.0333,81.97,77,15,6.46,YE,1697659295
201,sierra vista,31.5545,-110.3037,86.58,21,0,8.05,US,1697658482
202,tofol,5.3248,163.0078,82.51,75,100,10.51,FM,1697659295
203,solleftea,63.1667,17.2667,30.06,93,6,4.61,SE,1697659295
204,ain sefra,32.75,-0.5833,72.45,27,7,5.68,DZ,1697659296
205,okhotsk,59.3833,143.3,24.13,62,100,7.2,RU,1697659296
206,jamestown,42.097,-79.2353,55.71,59,20,9.22,US,1697659159
207,kotovo,50.3211,44.8012,39.76,49,100,8.75,RU,1697659296
208,peace river,56.2501,-117.286,55.71,66,75,6.91,CA,1697659296
209,kargil,34.5667,76.1,36.12,50,22,3.58,IN,1697659296
210,broome,42.2506,-75.833,60.01,72,33,1.99,US,1697659297
211,kone,-21.0595,164.8658,68.72,68,2,4.9,NC,1697659297
212,malvan,16.0667,73.4667,81.37,85,59,3.67,IN,1697659297
213,badger,64.8,-147.5333,28.98,88,100,11.5,US,1697659297
214,selfoss,63.9331,-20.9971,49.05,80,100,24.85,IS,1697659297
215,usinsk,65.9939,57.5281,41.07,87,100,14.0,RU,1697659297
216,sao felix do xingu,-6.6447,-51.995,95.32,26,95,1.59,BR,1697659297
217,arno,60.1167,18.6333,38.79,78,60,8.88,SE,1697659298
218,siwa oasis,29.2041,25.5195,77.04,29,0,4.7,EG,1697659298
219,nelson bay,-32.7167,152.15,63.0,91,100,5.01,AU,1697659298
220,mar del plata,-38.0023,-57.5575,63.52,57,0,13.8,AR,1697659298
221,andkhoy,36.9529,65.1238,64.58,51,0,5.32,AF,1697659298
222,daru,-9.0763,143.2092,77.02,89,100,13.31,PG,1697659298
223,afaahiti,-17.75,-149.2833,73.27,85,92,18.39,PF,1697659298
224,al kharijah,25.4514,30.5464,73.69,36,3,8.86,EG,1697659299
225,haiku-pauwela,20.9219,-156.3051,80.26,67,4,10.4,US,1697659299
226,pierre,44.3683,-100.351,60.85,65,100,29.93,US,1697659138
227,tongouson,5.0214,120.1328,81.99,77,100,3.18,PH,1697659299
228,san antonio de pale,-1.4014,5.6325,78.85,81,99,5.14,GQ,1697659299
229,priargunsk,50.3691,119.1012,29.73,53,18,6.35,RU,1697659299
230,port elizabeth,-33.918,25.5701,65.32,92,40,5.75,ZA,1697659299
231,tsuruoka,38.7217,139.8217,57.54,73,100,4.72,JP,1697659300
232,hami,42.8,93.45,49.71,36,0,3.04,CN,1697659300
233,macas,-2.3167,-78.1167,74.95,88,75,5.75,EC,1697659300
234,kapit,2.0167,112.9333,73.71,100,100,1.28,MY,1697659300
235,rongelap,11.1635,166.8941,79.74,85,100,21.72,MH,1697659300
236,pariaman,-0.619,100.12,77.05,87,79,2.3,ID,1697659300
237,janakkala,60.9,24.6,30.27,78,75,5.84,FI,1697659300
238,tadine,-21.55,167.8833,69.89,72,6,15.84,NC,1697659300
239,kingston,17.997,-76.7936,90.55,75,40,18.41,JM,1697659022
240,dudinka,69.4058,86.1778,36.63,98,100,5.99,RU,1697659301
241,hawaiian paradise park,19.5933,-154.9731,83.03,78,50,1.99,US,1697659301
242,mahanoro,-19.9,48.8,73.87,92,100,3.15,MG,1697659301
243,coxim,-18.5067,-54.76,103.46,19,94,7.49,BR,1697659301
244,mandalgovi,45.7625,106.2708,33.6,45,0,3.85,MN,1697659301
245,kisangani,0.5167,25.2,72.59,98,100,2.39,CD,1697659302
246,manismata,-2.4667,111.0333,72.79,99,100,1.05,ID,1697659302
247,miagao,10.6442,122.2352,78.15,82,54,6.78,PH,1697659302
248,paita,-5.0892,-81.1144,73.96,72,81,20.36,PE,1697659302
249,murzuq,25.9155,13.9184,78.17,19,7,7.92,LY,1697659302
250,coyhaique,-45.5752,-72.0662,69.75,23,0,9.22,CL,1697659302
251,sungai penuh,-2.0833,101.3833,67.08,80,99,2.8,ID,1697659302
252,black point,-34.6187,137.8972,60.96,45,9,8.5,AU,1697659302
253,the dalles,45.5946,-121.1787,76.64,62,6,4.0,US,1697659207
254,lebu,-37.6167,-73.65,57.65,68,6,15.84,CL,1697659303
255,saipan,15.1355,145.701,81.3,89,75,10.36,MP,1697659303
256,xinxiang,35.3089,113.8672,64.15,59,99,4.54,CN,1697659303
257,kavalerovo,44.2661,135.0572,44.4,93,53,3.0,RU,1697659303
258,laguna,38.421,-121.4238,87.64,45,0,4.61,US,1697659303
259,ponta delgada,37.7333,-25.6667,75.18,94,40,14.97,PT,1697659303
260,coquimbo,-29.9533,-71.3436,65.93,52,0,16.11,CL,1697659303
261,lompoc,34.6391,-120.4579,94.69,57,0,5.75,US,1697658710
262,saint-philippe,-21.3585,55.7679,76.59,83,88,9.15,RE,1697659303
263,pudozh,61.8099,36.5345,39.94,72,96,13.0,RU,1697659304
264,nar'yan-mar,67.6713,53.087,34.11,89,100,8.99,RU,1697659304
265,nuuk,64.1835,-51.7216,23.88,58,100,21.0,GL,1697659212
266,villa gesell,-37.2639,-56.973,56.12,51,16,13.11,AR,1697659304
267,jamaame,0.0697,42.745,79.39,82,99,8.68,SO,1697659304
268,tolanaro,-25.0319,46.9987,77.07,83,75,6.91,MG,1697659304
269,chengzihe,45.3333,131.0667,38.32,80,25,3.62,CN,1697659304
270,sitka,57.0531,-135.33,51.24,95,100,7.74,US,1697659304
271,keflavik,64.0049,-22.5624,50.43,76,100,34.52,IS,1697659305
272,celestun,20.8667,-90.4,83.71,50,44,14.54,MX,1697659305
273,trincomalee,8.5711,81.2335,77.92,86,85,8.97,LK,1697659305
274,camocim,-2.9022,-40.8411,81.82,70,93,14.74,BR,1697659305
275,irece,-11.3042,-41.8558,87.51,19,99,12.24,BR,1697659275
276,port hedland,-20.3167,118.5667,73.45,31,0,9.22,AU,1697659305
277,klyuchi,52.2667,79.1667,47.03,44,0,8.57,RU,1697659305
278,champerico,14.3,-91.9167,90.14,75,32,7.81,GT,1697659305
279,andergrove,-21.0833,149.1833,68.65,69,100,14.14,AU,1697659305
280,tevriz,57.509,72.4042,47.89,75,100,5.68,RU,1697659305
281,wanning,18.8003,110.3967,78.69,89,100,14.29,CN,1697659306
282,codrington,-38.2667,141.9667,50.61,60,18,6.91,AU,1697659210
283,outjo,-20.1167,16.15,72.16,32,0,12.21,NA,1697659280
284,syktyvkar,61.6764,50.8099,38.55,100,100,8.99,RU,1697659306
285,saint-pierre,-21.3393,55.4781,76.68,88,75,4.61,RE,1697659306
286,sigli,5.3848,95.9609,78.64,83,100,4.14,ID,1697659306
287,minas de marcona,-15.2119,-75.1103,66.6,68,27,14.99,PE,1697659306
288,sechura,-5.5569,-80.8222,80.26,57,65,19.28,PE,1697659306
289,mishkino,55.3389,63.9175,38.98,67,6,10.89,RU,1697659307
290,sinabang,2.4803,96.3801,78.17,86,100,2.21,ID,1697659307
291,vangaindrano,-23.35,47.6,73.44,94,100,8.95,MG,1697659307
292,stanley,54.868,-1.6985,52.79,88,40,17.27,GB,1697659307
293,luwuk,-0.9516,122.7875,76.39,85,25,4.65,ID,1697659307
294,salalah,17.0151,54.0924,78.69,80,2,0.31,OM,1697659088
295,carutapera,-1.195,-46.02,78.98,86,43,9.42,BR,1697659307
296,buka,40.8108,69.1986,63.5,46,100,4.74,UZ,1697659307
297,canton,23.1167,113.25,77.88,86,100,6.8,CN,1697659307
298,mana,5.6592,-53.7767,84.54,73,75,9.89,GF,1697659307
299,kiama,-34.6833,150.8667,60.01,86,1,4.76,AU,1697659308
300,karratha,-20.7377,116.8463,79.29,45,0,9.8,AU,1697659299
301,chicoana,-25.1009,-65.5331,71.65,53,65,10.13,AR,1697659308
302,osterburg,52.7833,11.7667,47.08,82,100,13.89,DE,1697659308
303,petropavlovsk-kamchatsky,53.0452,158.6483,43.45,88,75,6.71,RU,1697659308
304,pontchateau,47.4333,-2.0833,64.74,82,100,14.97,FR,1697659308
305,ahar,38.4774,47.0699,49.51,87,15,2.1,IR,1697659308
306,addiet canna,11.2667,37.4833,58.03,83,62,2.68,ET,1697659308
307,puerto armuelles,8.2833,-82.8667,81.09,72,100,5.01,PA,1697659309
308,goondiwindi,-28.55,150.3167,55.62,70,0,6.51,AU,1697659309
309,fuyuan,46.4333,127.0833,40.08,71,53,12.28,CN,1697659309
310,nampula,-15.1165,39.2666,78.75,57,0,8.05,MZ,1697659309
311,quang ngai,15.1167,108.8,75.69,91,100,3.18,VN,1697659309
312,farasan,16.7022,42.1183,87.26,66,10,3.6,SA,1697659309
313,andovoranto,-18.95,49.1,73.71,94,100,4.43,MG,1697659309
314,nemuro,43.3236,145.575,58.26,82,100,21.43,JP,1697659309
315,sucua,-2.4667,-78.1667,75.94,88,75,5.75,EC,1697659309
316,elena,42.9333,25.8833,52.99,84,23,5.12,BG,1697659310
317,kalmunai,7.4167,81.8167,76.14,86,100,4.94,LK,1697659310
318,severo-yeniseyskiy,60.3725,93.0408,39.58,98,100,5.01,RU,1697659310
319,nadym,65.5333,72.5167,42.1,91,100,11.07,RU,1697659310
320,kas,36.2018,29.6377,69.1,66,3,8.68,TR,1697659310
